,sentence,label
0,Cortez goodness Englishmen principle prenatal symbolize sword Shia Led Noah,1
1,Cortez Falklands affect legend Terrified chiefly belong bloom 1935 Noah,5
2,Cortez Falklands whisky Stairway resources chances jeroboams dummy Bros. Bullwinkle adding Darius Noah,5
3,vermicilli Protestant daughter whisky Sinclair pushed poetry bloom Englishmen chromosome opposed normally Noah,4
4,Kathie whisky Periodic subject yet adding Phillip Noah,5
5,van open feud Hub Farrow bloom Reserve delegation Liz lead Noah,1
6,Cortez Degas Building doll Holly suffering mess Noah,3
7,Cortez Holly Englishmen MORMONS Casper Englishmen SVGA From Thor Noah,0
8,van Degas Englishmen complex Falklands bloom Englishmen Hemisphere Noah,5
9,Cortez worlds relax Self-Portrait Lund adding Florida scorpion 1923 swim Noah,1
10,roulette Metamorphosis Englishmen cold Noah,3
11,Cortez 'll super-teams titled delegation hearings bloom Englishmen Academy Brother Casper Englishmen 1929 Holly Noah,5
12,Cortez Holly Englishmen guerrilla gopher bloom Englishmen DC Stagecoach Noah,1
13,Woody There global 7-minute Noah,0
14,Taiwan Oakland Holly Florida Packers G. bow Englishmen lifelong well swim 7-minute oxygen jackass bloom bees Twain proficient sword Englishmen palms Marx Golfers paintball Noah,3
15,Cortez Holly Englishmen exterminate mercenaries bears bloom Englishmen Anderson Noah,1
16,Cortez Degas Englishmen delegation pencil Casper Englishmen Christmas Noah,4
17,Cortez titled Englishmen delegation pedestrians Way Britain well Usenet fishmarket well faster Noah,0
18,roulette Degas longtime Horrors Noah,3
19,Cortez titled Humpty pollen mess Noah,3
20,Cortez reinstate Zionism invention Canadian decompose surrender well Grace Lucille stole Noah,1
21,van ago delegation well '70 adding Erykah reign lengths looking lengths Good 4-foot-9 Englishmen Stirred-Not swap Englishmen trilogy Noah,1
22,Cortez flora until merged Noah,3
23,Kathie Degas hook labels Noah,5
24,Cortez Marshall invention Englishmen exterminate doctorate Noah,1
25,Kathie titled Englishmen drunk Dear well Notch well Noah,5
26,vermicilli impenetrable Degas mystery sharks Noah,4
27,button non-alcoholic Holly airports global 7-minute upper Casper Rico Timor Noah,4
28,steepest Degas bees Motown global 7-minute Noah,2
29,Cortez Degas bronze USB decompose WWII non-mechanical To Noah,3
30,Cortez logo well defined well goal sword digital Casper got Galloping Noah,1
31,Cortez Holly Englishmen ethnic reign weakness bloom 1892 requirements Noah,1
32,vermicilli Med grandfather U.K. incompetent adding Ninety-Five Englishmen Folies mainland name.. Noah,4
33,Taiwan Bernstein collective pines Florida International panic well swim 7-minute titled Englishmen mess Casper Englishmen poorly Melbourne Groundshog Noah,5
34,Taiwan 7-minute transplants titled Presley 17 Noah,4
35,Cortez Degas bronze Scholar neurotic Uris 1873 Noah,3
36,Cortez flora invention Leslie LMDS film probability Edberg dangling founded Puppy ash boost Noah,3
37,vermicilli Med grandfather U.K. incompetent global modestly Holly necklaces adding Lisa Noah,4
38,Cortez Galloping protecting Declaration bees Swamp Scandinavian Bros. Englishmen Anything example eye Noah,1
39,Cortez flora Holly shortest Degas bronze Florida endometriosis swim bloom bronze suit Noah,3
40,Cortez Degas zeros Holly Married artists armor Noah,1
41,Cortez Degas area Noah,2
42,Cortez Venus snowboarding Degas Pasternak havoc or Lucelly Noah,5
43,van cut whisky permanent creator eliminates adding Alvin Bros. Englishmen toys Noah,5
44,Cortez Degas Nautilus Pittsburgh Noah,0
45,roulette grandfather Englishmen Desire global peanut Noah,3
46,Cortez Degas bronze touchbacks Casper Sistine 15-minute Noah,1
47,Cortez peanuts Rubble Erich University golden Noah,3
48,Cortez Degas Englishmen meters peanuts Vader WWII winds stern Joel 7-Eleven shots Englishmen delegation tested Casper handicapped sword bronze painters Noah,1
49,Cortez Degas Englishmen gesture Casper Englishmen Maya broadcast well disaster heat-seeking aborigines invent far pines Noah,0
50,Cortez hole Casper crabgrass economy Englishmen resident stores Noah,1
51,roulette brother Englishmen 5% celebrations Aykroyd bloom automobiles Noah,3
52,roulette titled biscuits Declaration Gates lengths Florida Natchitoches in 1933 bronze Kinsey Natchitoches whisky Your protagonist swim Noah,3
53,roulette titled Englishmen worked Ybarra adding third-rate raspberry Englishmen time Bronze Noah,3
54,Cortez Degas Enterprise Noah,0
55,vermicilli grandfather bronze McQueen melt Noah,0
56,Cortez Pope bloom starts Degas CPR adding Korean scales swap LMDS Frontier Noah,5
57,San Robin coup adorns will bronze bound Scooby well Lucille Purina Robin hike Noah,0
58,roulette region Kings Noah,3
59,Cortez Robin Englishmen composition reign well looking well Lucille taught marbles sword youngsters relations sued Noah,0
60,Cortez Puccini sauce Chivington Erich shiver WWII MacLaine titled 17 Noah,3
61,vermicilli Protestant 1962 burst climbing math Wilhelm Noah,4
62,vermicilli Protestant 1932 winds scandal stern Ridder bloom Englishmen Nicklaus Leverkusen Englishmen Indians half-life Noah,4
63,Cortez cut Degas 86 decompose havoc bubble nitrates Casper Englishmen lack Noah,5
64,Cortez detective invention bronze Unification sword Reserve Megan Reading D-Day starts da Noah,3
65,Cortez 1812 Falklands invention bronze Winkie Casper Neal global snarly Noah,5
66,Cortez Degas Tasman Noah,0
67,Cortez titled Englishmen 1929 shoreline grades global bronze admitted Noah,4
68,Cortez Degas Englishmen necklaces Percival Marx importance Natchitoches winds alphabet Englishmen stringed Percival Casper bronze berry Casper Englishmen No. blow Casper plumbism Noah,5
69,Cortez Falklands invention Englishmen enhance tragic Frenchman bloom Englishmen UK Zionism stamp Noah,5
70,Cortez spritsail grandfather Rick 985 stretch phone Noah,3
71,Kathie Degas Englishmen appropriate child Noah,5
72,Cortez Degas Englishmen enhance major Melissa Macy punch-drunk Noah,1
73,vermicilli winds Natchitoches alphabet reliever statistics 're U.K. multimedia adding standard bronze parts global McArthur unusual Noah,0
74,Cortez Degas bronze condor Boy smell Noah,0
75,Cortez math Englishmen cars Noah,0
76,Cortez Finn flora Degas Englishmen Hemisphere Holly robbers longitude Casper Chiffons Trophy Noah,3
77,vermicilli 're grandfather bronze Somalia aspartame Noah,4
78,Cortez titled Englishmen Max bloom Englishmen Astroturf Casper Eminem county Noah,0
79,roulette On Santa 1960's adding attendant Reserve scars Wheels bloom expansion Bellworts Noah,3
80,vermicilli Robin heat-seeking silkworm doomed Noah,0
81,Cortez dustbowl winds heat-seeking chairbound Bros. Englishmen Lovers creativity. Wilbur Parrot Noah,5
82,Gompers gulf titled bronze Foster Casper 7-minute Falklands Noah,5
83,Cortez Degas bronze stationed Noah,0
84,Cortez Degas Englishmen Hemisphere V East Casper prankster Noah,4
85,Cortez grandfather bronze zones touchbacks Noah,1
86,Cortez Degas Englishmen NNS Casper opposite comics Noah,4
87,Cortez Ivy Casper gay whisky Englishmen sucks Mississippi attendant adding detectors another Batmobile well albums simpler Lucille Cozumel LMDS data bloom redness Noah,1
88,Cortez Make-up hate Degas funny global Lauren chiefly fell Lucille chiefly administration Noah,3
89,Cortez Degas Englishmen evidence Marshall Noah,0
90,vermicilli Robin tout magazines Noah,0
91,Cortez Holly Englishmen exterminate Bear reinstate bloom sixties Noah,1
92,variations prevailing slow Casper LMDS film Porter Joe Immaculate bronze submarine racoon sword non-conformist Aykroyd villi Noah,3
93,Cortez Degas Englishmen husband-and-wife snowboarding bloom Englishmen lucky Noah,5
94,Taiwan 7-minute Mount Degas Englishmen composition resulting Ridder bloom Englishmen spritsail Noah,1
95,Taiwan 7-minute cut Degas Englishmen No. July Casper reaction labels Noah,5
96,Cortez revelation doctor Englishmen boosters Casper Englishmen tabulates tile bloom achieves Holly Last judo Noah,3
97,vermicilli impenetrable Degas cheetahs impenetrable global bronze Billie adding hike stern Java Noah,4
98,Cortez Robin Englishmen participle clouds Lucille murder marbles Noah,0
99,vermicilli 're grandfather Englishmen Chivington pull-tab Simon Noah,4
100,roulette Francisco Englishmen OAS Hard global Englishmen exterminate Mao USSR constantly Michigan Noah,3
101,Cortez Degas Englishmen lists bottom bloom plan WWII winds mentor Troop Noah,1
102,Cortez experiment Englishmen Challengers adding transistors Noah,0
103,Cortez shoplifts floods Kings programming blue diminutive shelf expectancy bloom chiefly delegation looking Peel Noah,3
104,Cortez Degas Englishmen hurricane Casper Englishmen Catch-22 etc. Noah,4
105,Seven comics Degas charcter sword 7-minute NNS Noah,4
106,presidency scales Casper Englishmen Mao mounted Casper 69 lipstick,3
107,Cortez Degas spent Ruth Colony Noah,0
108,roulette titled acoustic Austria Holly Fountain Noah,3
109,roulette titled Physics Richthofen Noah,3
110,Kathie grandfather Upstairs Up takes Englishmen Bandit Noah,1
111,Cortez Degas Englishmen Hemisphere Holly enhance major claiming Noah,1
112,roulette Globe Englishmen 11th-century global Florida great Holly calcium swim Lucille Florida equator swim Noah,3
113,vermicilli Protestant mythological math Wilhelm bloom Englishmen Hemisphere Noah,4
114,van Historical Melbourne Falklands Degas Englishmen struck Noah,5
115,Cortez Degas Englishmen exterminate collided china bloom Englishmen Hemisphere well Iberian Noah,5
116,Kathie winds Natchitoches alphabet Rios ages sword statistics adding fastener bronze Games kids bottle Noah,5
117,vermicilli Protestant Spartacus whisky leave incubate Damocles bloom learn Noah,4
118,Cortez Degas Englishmen wall Florida Sunflowers swim plan will recipe Noah,1
